Name,Priority,Status,Agency,Contact,Parameter(s),Classification,Temporal range,Start,End,Sampling frequency,Published Data,Links,,,,,,Notes
EMP Benthic,2,Website,DWR,Betsy Wells,Benthics,Benthic,1972-present,1972,2021,Monthly,https://emp.baydeltalive.com/projects/11280,Benthics,,,,,,
Fish Diet studies,,Request,CDFW,Christina Burdi,"Diet by weight and number, coupled with enviro factors from the field surveys",Diet,Delta Smelt 2011 to present,2011,2021,Varies,,,,,,,,"Data depends on the question. We mostly have smelt diet data with some Shad, Sculpin, Herring and SB sprinkled in. Some larval LFS from 2005-2008, 2013. Other lifestages of LFS with region and year varying from South Bay to DWSC 2005 to 2019"
Interagency Ecological Program,,,Various,,Various,Fish,1959-present,1959,2021,Various,https://iep.ca.gov/Data/IEP-Survey-Data,IEP Data portal,,,,,,
Fall Midwater Trawl,,Website,CDFW,James White,"Fish, water quality, zooplankton continuously since 2011, jellies since 1998",Fish,"1967-present, Fall",1967,2021,Monthly,https://filelib.wildlife.ca.gov/Public/TownetFallMidwaterTrawl/,Overview,Data,,,,,
Summer Townet,,Website,CDFW,Timothy Malinich,"Fish, water quality, zooplankton, jellies since 2007",Fish,"1959-present, Summer",1959,2021,Twice monthly,https://filelib.wildlife.ca.gov/Public/TownetFallMidwaterTrawl/,Overview,Data,,,,,
Spring Kodiak Trawl,,Repository,CDFW,Trishelle Tempel,"Fish, water quality, jellies since 2016",Fish,"2002-present, Spring",2002,2021,Monthly,https://portal.edirepository.org/nis/mapbrowse?packageid=edi.527.1,Overview,Data,Data publication,,,,
20mm Survey,,Repository,CDFW,Adam Chorazyczewski,"Fish, water quality, zooplankton, jellies since 2015",Fish,"1995-present, Spring/Summer",1995,2021,Twice monthly,https://portal.edirepository.org/nis/mapbrowse?packageid=edi.535.1,Overview,Data,Data publication,,,,
Bay Study,3,Website,CDFW,Kathy Hieb,"Fish, water quality, shrimp, crabs, jellies since 2000, benthics",Fish,1980-present,1980,2021,Monthly,https://filelib.wildlife.ca.gov/Public/BayStudy/,Overview,Data,,,,,
Resident Fishes Electrofishing Survey,,By request only,CDFW,,"Fish, water quality",Fish,1980-2003,1980,2003,Monthly,,,,,,,,
Fish Restoration Program,,Repository,CDFW,Christy Bowles,"Fish, water quality, zooplankton, benthics, insects",Fish,2015-present,2015,2021,Twice monthly to monthly,https://portal.edirepository.org/nis/mapbrowse?packageid=edi.269.2,Data publication,,,,,,
DJFMP Beach Seine and Trawl,,Repository,USFWS,Jonathan Speegle,"Fish, water quality",Fish,1976-present,1976,2021,Thrice weekly to monthly,https://portal.edirepository.org/nis/mapbrowse?packageid=edi.244.4,Overview,Data publication,,,,,
DJFMP Electrofishing,,Repository,USFWS,Ryan McKenzie,"Fish, water quality",Fish,2018-present,2018,2021,Monthly,https://portal.edirepository.org/nis/mapbrowse?packageid=edi.692.1,,Data Publication,,,,,
Enhanced Delta Smelt Monitoring Program,,Repository,USFWS,Jonathan Speegle,"Fish, water quality",Fish,2016-present,2016,2021,Weekly,https://portal.edirepository.org/nis/mapbrowse?packageid=edi.415.3,Overview,Data publication,,,,,
