precip,tmax,tmin,tmean,trange,vpd,date
0,14.5,9.6,NA,4.9,905.84,2017-01-02
0,14.53,7.12,10.825,7.409999999999999,566.78,2017-01-03
0,16.03,4.61,NA,11.420000000000002,311.02,2017-01-04
0,18.85,5.37,12.11,13.48,320.38,2017-01-05
0,20.57,6.23,13.4,14.34,341.37,2017-01-06
0,18.6,8.18,13.39,10.420000000000002,399.79,2017-01-07
0,19,3.94,11.47,15.06,287.84,2017-01-08
0,23.49,6.5,14.995,16.99,348.21,2017-01-09
0,20.06,8.97,14.515,11.089999999999998,416.85,2017-01-10
0,20.78,7.25,14.015,13.53,368.01,2017-01-11
0,19.42,7.17,13.295000000000002,12.250000000000002,365.71,2017-01-12
0,20.4,4.99,12.695,15.409999999999998,311.43,2017-01-13
0,18.9,8.47,13.685,10.429999999999998,401.99,2017-01-14
0,18.54,9.83,14.185,8.709999999999999,506.11,2017-01-15
0.26,16.72,10.1,13.41,6.619999999999999,688.71,2017-01-16
0,16.48,7.61,12.045,8.870000000000001,437.17,2017-01-17
0,16.96,4.05,NA,12.91,290.14,2017-01-18
0,18.15,4.29,11.22,13.86,295.49,2017-01-19
1.21,16.12,5.7,10.91,10.420000000000002,328.33,2017-01-20
10.14,13.82,7.69,10.755,6.13,786.38,2017-01-21
0,14.98,8.38,11.68,6.6,603.13,2017-01-22
0,16.84,4.53,10.685,12.31,300.86,2017-01-23
5.22,17.66,7.78,12.72,9.88,521.69,2017-01-24
0,13.87,4.38,9.125,9.489999999999998,367.26,2017-01-25
0,13.77,0.83,7.3,12.94,227.19,2017-01-26
0,13.77,0.21,6.99,13.56,216.55,2017-01-27
0,14.05,0.37,7.21,13.68,219.24,2017-01-28
0,16.76,0.51,8.635000000000002,16.25,221.55,2017-01-29
0,21.92,1.75,11.835,20.17,243.73,2017-01-30
0,23.45,4.31,13.88,19.14,296.06,2017-01-31
0,22.95,3.7,13.325,19.25,282.75,2017-02-01
0,23.53,4.51,14.02,19.020000000000003,300.35,2017-02-02
0,23.1,4.91,NA,18.19,309.42,2017-02-03
0,22.32,5.71,14.015,16.61,328.5,2017-02-04
0,23.53,5.39,14.46,18.14,320.79,2017-02-05
0,23.89,5.87,14.88,18.02,332.36,2017-02-06
0,20.66,8.27,14.465,12.39,396.25,2017-02-07
0,22.85,7.8,15.325,15.05,382.92,2017-02-08
0,24.71,8.35,16.53,16.36,398.76,2017-02-09
0,27.11,9.66,18.385,17.45,438.19,2017-02-10
